symbol,side,entry_date,entry_px,exit_date,exit_px,qty,pnl,exit_reason,days_held
HDFCLIFE,L,2019-10-04,593.25,2019-11-05,596.0,15,41.25,EMA13,32
BRITANNIA,L,2019-10-31,3298.6,2019-11-06,3239.85,7,-411.25,EMA13,6
BERGEPAINT,L,2019-10-14,398.75,2019-11-11,404.5,58,333.5,EMA13,28
SBILIFE,L,2019-10-31,1006.0,2019-11-13,984.5,7,-150.5,EMA13,13
TATACOMM,L,2019-11-05,369.9,2019-11-14,353.0,24,-405.6,EMA13,9
HDFCLIFE,L,2019-11-14,592.5,2019-11-15,588.35,14,-58.1,EMA13,1
ICICIPRULI,L,2019-11-06,510.5,2019-11-20,506.4,44,-180.4,EMA13,14
SBILIFE,L,2019-11-15,1008.2,2019-11-20,940.0,8,-545.6,EMA13,5
ICICIPRULI,L,2019-11-20,506.4,2019-11-21,503.3,49,-151.9,EMA13,1
SBILIFE,L,2019-11-20,940.0,2019-11-21,942.45,5,12.25,EMA13,1
IPCALAB,L,2019-11-11,532.5,2019-12-06,548.5,44,704.0,EMA13,25
TATACOMM,L,2019-11-22,353.9,2019-12-09,396.8,70,3003.0,EMA13,17
BAJFINANCE,L,2019-12-06,401.0,2019-12-09,396.96,61,-246.44,EMA13,3
DRREDDY,L,2019-12-09,579.8,2019-12-16,567.0,43,-550.4,EMA13,7
SRF,L,2019-12-10,648.6,2019-12-18,647.76,38,-31.92,EMA13,8
TIINDIA,L,2019-11-13,442.0,2019-12-19,482.5,16,648.0,EMA13,36
RELIANCE,L,2019-12-03,728.15,2019-12-24,717.25,7,-76.31,EMA13,21
KOTAKBANK,L,2019-12-16,338.8,2019-12-30,338.0,73,-58.4,EMA13,14
PRESTIGE,L,2019-12-18,331.5,2020-01-02,333.3,75,135.0,EMA13,15
BAJAJFINSV,L,2019-12-19,935.0,2020-01-07,912.5,10,-225.0,EMA13,19
MUTHOOTFIN,L,2020-01-07,764.0,2020-01-09,753.0,32,-352.0,EMA13,2
TRENT,L,2020-01-01,527.0,2020-01-28,573.05,47,2164.35,EMA13,27
JUBLFOOD,L,2020-01-10,343.0,2020-01-29,352.4,27,253.8,EMA13,19
PRESTIGE,L,2020-01-28,393.5,2020-01-31,382.0,63,-724.5,EMA13,3
ADANIENT,L,2020-01-09,201.9,2020-02-04,222.65,123,2552.25,EMA13,26
HAVELLS,S,2020-02-05,613.4,2020-02-06,626.8,40,-536.0,EMA13,1
IDEA,S,2020-01-31,5.3,2020-02-24,4.8,4553,2276.5,EMA13,24
SRF,L,2019-12-24,669.39,2020-02-25,813.9,7,1011.57,EMA13,63
DRREDDY,L,2020-02-06,633.52,2020-02-25,636.4,39,112.32,EMA13,19
TRENT,L,2020-02-24,775.9,2020-03-04,735.0,32,-1308.8,EMA13,9
MARICO,S,2020-02-27,306.8,2020-03-27,271.0,30,1074.0,EMA13,29
ONGC,S,2020-01-29,117.35,2020-04-01,67.0,100,5035.0,EMA13,63
HINDALCO,S,2020-04-01,94.95,2020-04-08,109.19,184,-2620.62,SL,7
TVSMOTOR,S,2020-04-08,261.1,2020-04-09,300.26,57,-2232.4,SL,1
CANBK,S,2020-03-04,28.4,2020-04-13,18.19,829,8464.09,EMA13,40
LT,S,2020-03-27,867.9,2020-04-15,890.95,11,-253.55,EMA13,19
GLENMARK,S,2020-04-15,329.0,2020-04-16,324.0,50,250.0,EMA13,1
OBEROIRLTY,S,2020-04-13,308.55,2020-04-17,361.0,81,-4248.45,SL_gap,4
SJVN,S,2020-04-16,22.4,2020-04-17,22.4,751,0.0,EMA13,1
TVSMOTOR,S,2020-04-09,288.0,2020-04-20,321.95,43,-1459.85,EMA13,11
OBEROIRLTY,S,2020-04-17,361.0,2020-04-20,415.15,69,-3736.35,SL,3
PNB,S,2020-02-25,50.4,2020-04-21,32.3,496,8977.6,EMA13,56
MPHASIS,S,2020-04-21,737.5,2020-04-24,696.8,33,1343.1,EMA13,3
WIPRO,S,2020-04-22,88.5,2020-05-04,92.25,282,-1057.5,EMA13,12
DRREDDY,L,2020-05-04,770.0,2020-05-06,770.2,32,6.4,EMA13,2
UPL,S,2020-05-05,395.0,2020-05-06,392.95,11,22.55,EMA13,1
UPL,S,2020-05-06,392.95,2020-05-07,378.0,63,941.85,EMA13,1
IDFCFIRSTB,S,2020-05-05,21.1,2020-05-14,21.3,1184,-236.8,EMA13,9
TATAPOWER,S,2020-05-07,29.1,2020-05-14,31.0,859,-1632.1,EMA13,7
TATAPOWER,S,2020-05-14,31.0,2020-05-15,31.0,806,-0.0,EMA13,1
CUMMINSIND,S,2020-05-07,372.2,2020-05-28,348.5,13,308.1,EMA13,21
SBIN,S,2020-05-14,170.95,2020-06-01,164.0,136,945.2,EMA13,18
UNIONBANK,S,2020-04-30,27.4,2020-06-02,25.5,912,1732.8,EMA13,33
AUBANK,S,2020-05-15,214.0,2020-06-02,204.7,116,1078.8,EMA13,18
BAJAJFINSV,S,2020-05-28,425.0,2020-06-02,488.75,12,-765.0,SL,5
COROMANDEL,L,2020-06-02,654.0,2020-06-04,634.0,38,-760.0,EMA13,2
DIVISLAB,L,2020-06-08,2472.0,2020-06-12,2310.0,2,-324.0,EMA13,4
BRITANNIA,L,2020-06-08,3486.0,2020-06-16,3381.05,7,-734.65,EMA13,8
DRREDDY,L,2020-06-02,797.0,2020-06-18,802.0,31,155.0,EMA13,16
PIIND,L,2020-06-17,1619.0,2020-06-18,1585.0,14,-476.0,EMA13,1
PIIND,L,2020-06-18,1585.0,2020-06-19,1556.0,15,-435.0,EMA13,1
PIIND,L,2020-06-19,1556.0,2020-06-22,1565.0,15,135.0,EMA13,3
BIOCON,L,2020-06-29,401.6,2020-07-01,390.4,60,-672.0,EMA13,2
MUTHOOTFIN,L,2020-06-15,979.6,2020-07-09,1087.0,6,644.4,EMA13,24
BRITANNIA,L,2020-06-18,3415.0,2020-07-28,3780.3,7,2557.1,EMA13,40
ESCORTS,L,2020-07-01,1053.0,2020-07-28,1110.1,22,1256.2,EMA13,27
COROMANDEL,L,2020-06-08,669.9,2020-07-29,779.0,37,4036.7,EMA13,51
MUTHOOTFIN,L,2020-07-29,1336.0,2020-08-06,1263.0,18,-1314.0,EMA13,8
NAUKRI,L,2020-08-03,642.09,2020-08-13,654.98,38,489.82,EMA13,10
TATACOMM,L,2020-08-06,804.0,2020-08-14,792.0,31,-372.0,EMA13,8
CIPLA,L,2020-07-30,681.2,2020-08-26,751.5,36,2530.8,EMA13,27
DIXON,L,2020-07-09,1224.0,2020-09-01,1596.8,5,1864.0,EMA13,54
DIVISLAB,L,2020-08-13,3110.0,2020-09-01,3114.0,8,32.0,EMA13,19
TATACONSUM,L,2020-08-14,541.95,2020-09-01,526.0,46,-733.7,EMA13,18
COROMANDEL,L,2020-08-26,812.0,2020-09-01,762.0,30,-1500.0,EMA13,6
AUROPHARMA,L,2020-09-02,821.0,2020-09-03,816.0,17,-85.0,EMA13,1
NAUKRI,L,2020-09-01,659.0,2020-09-08,678.0,37,703.0,EMA13,7
TIINDIA,L,2020-09-01,644.1,2020-09-10,613.0,38,-1181.8,EMA13,9
BIOCON,L,2020-09-16,440.05,2020-09-22,429.15,56,-610.4,EMA13,6
PIIND,L,2020-09-17,2052.0,2020-09-22,1937.0,6,-690.0,EMA13,5
JUBLFOOD,L,2020-09-01,420.0,2020-09-25,458.4,59,2265.6,EMA13,24
COFORGE,L,2020-09-22,421.0,2020-09-25,427.0,27,162.0,EMA13,3
ONGC,S,2020-09-25,68.0,2020-09-29,72.5,206,-927.0,EMA13,4
PERSISTENT,L,2020-09-22,583.05,2020-10-16,662.5,42,3336.9,EMA13,24
HCLTECH,L,2020-09-09,712.1,2020-10-19,839.8,35,4469.5,EMA13,40
COALINDIA,S,2020-09-25,116.0,2020-10-20,115.1,215,193.5,EMA13,25
COFORGE,L,2020-09-29,479.0,2020-10-23,500.0,27,567.0,EMA13,24
SRF,L,2020-10-19,897.32,2020-10-27,866.0,27,-845.64,EMA13,8
ASIANPAINT,L,2020-10-21,2130.0,2020-10-27,2085.0,11,-495.0,EMA13,6
INFY,L,2020-10-16,1113.85,2020-10-28,1095.5,22,-403.7,EMA13,12
DIXON,L,2020-10-27,1890.44,2020-10-29,1802.46,13,-1143.74,EMA13,2
TATACOMM,L,2020-10-28,928.8,2020-10-30,890.0,26,-1008.8,EMA13,2
ASIANPAINT,L,2020-10-29,2162.0,2020-11-13,2180.5,11,203.5,EMA13,15
APLAPOLLO,L,2020-10-23,295.3,2020-11-20,325.19,80,2391.2,EMA13,28
PIIND,L,2020-10-30,2155.0,2020-11-26,2220.0,9,585.0,EMA13,27
TATACOMM,L,2020-11-26,1035.0,2020-12-04,1041.7,21,140.7,EMA13,8
TIINDIA,L,2020-11-18,740.1,2020-12-10,801.35,33,2021.25,EMA13,22
SRF,L,2020-11-20,1010.22,2020-12-16,1051.11,24,981.36,EMA13,26
ADANIENT,L,2020-10-30,331.05,2020-12-22,428.2,75,7286.25,EMA13,53
COFORGE,L,2020-12-04,499.4,2020-12-22,482.8,43,-713.8,EMA13,18
APLAPOLLO,L,2020-12-10,380.14,2020-12-22,365.0,65,-984.1,EMA13,12
ALKEM,L,2020-12-16,2905.0,2020-12-22,2864.0,8,-328.0,EMA13,6
ALKEM,L,2020-12-22,2864.0,2020-12-23,2852.0,8,-96.0,EMA13,1
TATACOMM,L,2020-12-22,944.35,2020-12-23,1007.0,26,1628.9,EMA13,1
TATACOMM,L,2020-12-23,1007.0,2021-01-11,1074.7,24,1624.8,EMA13,19
DRREDDY,L,2020-12-22,1021.54,2021-01-18,1046.2,24,591.84,EMA13,27
PIDILITIND,L,2020-12-24,872.5,2021-01-18,870.5,28,-56.0,EMA13,25
ZYDUSLIFE,L,2020-12-22,455.0,2021-01-19,474.1,54,1031.4,EMA13,28
